"last_name, first_name","player_id","year","pa","k_percent","xwoba","sweet_spot_percent","barrel_batted_rate","avg_hyper_speed"
"Ohtani, Shohei","660271","2023","599",23.9,".427",35.6,19.6,"97.769057809"
"Acuña Jr., Ronald","660670","2023","735",11.4,".460",33.6,15.3,"98.157029125"
"Ruiz, Keibert","660688","2023","562",10.3,".322",39.4,5.8,"92.681495075"
"Montero, Elehuris","660707","2023","307",36.2,".254",31.8,6.8,"94.674275852"
"Sánchez, Jesús","660821","2023","402",26.6,".350",32.9,12.2,"95.857175913"
"Contreras, William","661388","2023","611",20.6,".335",27.1,9.4,"96.097846496"
"Varsho, Daulton","662139","2023","581",23.2,".302",34.3,7.3,"94.005486074"
"Nootbaar, Lars","663457","2023","503",19.7,".356",30.8,8.8,"94.369985457"
"Hoerner, Nico","663538","2023","688",12.1,".311",33.2,1.8,"92.695131651"
"Riley, Austin","663586","2023","715",24.1,".365",35.2,13.9,"96.274145591"
"Madrigal, Nick","663611","2023","294",8.2,".294",29.9,0.8,"91.943884016"
"Mountcastle, Ryan","663624","2023","470",22.8,".356",35.9,12.1,"95.45427677"
"Hayes, Ke'Bryan","663647","2023","525",19.8,".321",34.1,7.4,"95.450846324"
"Tucker, Kyle","663656","2023","674",13.6,".386",35.4,10.6,"94.831132546"
"India, Jonathan","663697","2023","529",20.6,".339",37.2,7.7,"94.0396352"
"Raleigh, Cal","663728","2023","569",27.8,".330",36.5,12.6,"94.749354873"
"Fortes, Nick","663743","2023","323",18.3,".262",27.1,3.8,"93.393950383"
"Grisham, Trent","663757","2023","555",27.7,".322",32.8,11.9,"94.880503967"
"Vierling, Matt","663837","2023","530",21.1,".322",32.2,4.6,"94.490701519"
"Stephenson, Tyler","663886","2023","517",26.1,".314",33.5,7.6,"94.357020636"
"Lowe, Nathaniel","663993","2023","724",22.8,".339",36.7,6.5,"94.820277484"
"Happ, Ian","664023","2023","691",22.1,".350",36.7,9,"94.121891884"
"France, Ty","664034","2023","665",17.6,".342",36.9,6.8,"93.765945224"
"Lowe, Brandon","664040","2023","436",27.3,".341",32.6,10.7,"95.219077088"
"Bader, Harrison","664056","2023","344",17.2,".288",32.8,5.3,"92.819025115"
"Straw, Myles","664702","2023","518",18.7,".272",34,0.5,"91.593212265"
"Isbel, Kyle","664728","2023","313",18.8,".289",32.2,5.5,"93.847228522"
"Bohm, Alec","664761","2023","611",15.4,".343",35.1,5.7,"94.400147213"
"Wade Jr., LaMonte","664774","2023","519",18.3,".360",33.6,9.1,"93.945744444"
